dir;backbone;use_kd;T;use_refinement;entropt_thr;model_size_mb;macs;params;inference_time_ms;throughput_fps;ram_mb;GLOPS;cpu_core
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;False;;68,94533157348633;3143944704;5802463;65,07493257522583;15,36690028597436;910,5;96,62536954197034;1
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T1,0_w-0,001_256x256;b0;True;1,0;False;;68,94539260864258;3143944704;5802463;70,70157527923584;14,143956426013146;927,07421875;88,9356337983416;1
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T1,5_w-0,001_256x256;b0;True;1,5;False;;68,94539260864258;3143944704;5802463;68,38665008544922;14,622737021779812;929,33984375;91,94615323521876;1
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;False;;68,94539260864258;3143944704;5802463;61,962854862213135;16,138701198059724;949,734375;101,47836832215665;1
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,5_w-0,001_256x256;b0;True;2,5;False;;68,94539260864258;3143944704;5802463;64,50377702713013;15,502968137499956;939,8359375;97,48094914434746;1
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T3,0_w-0,001_256x256;b0;True;3,0;False;;68,94539260864258;3143944704;5802463;67,18504428863525;14,88426495194193;959,70703125;93,59061193718128;1
timm-efficientnet-b0_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,05;68,94533157348633;3143944704;5802463;62,299156188964844;16,051581773705173;990,4765625;100,93057101652661;1
timm-efficientnet-b0_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,05;68,94539260864258;3143944704;5802463;68,75965595245361;14,543411920087072;990,23828125;91,44736576849645;1
timm-efficientnet-b0_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,15;68,94533157348633;3143944704;5802463;65,34767150878906;15,302764075771286;1036,9375;96,22208814516517;1
timm-efficientnet-b0_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,15;68,94539260864258;3143944704;5802463;63,073492050170906;15,854520932574406;1030,4765625;99,69147424084889;1
timm-efficientnet-b0_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,25;68,94533157348633;3143944704;5802463;63,09493780136108;15,849132035730893;1030,640625;99,65758945346576;1
timm-efficientnet-b0_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,25;68,94539260864258;3143944704;5802463;63,0531668663025;15,859631636272816;1030,859375;99,72360978050155;1
timm-efficientnet-b0_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,35;68,94533157348633;3143944704;5802463;63,05935382843017;15,858075595268028;1030,859375;99,71382556674912;1
timm-efficientnet-b0_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,35;68,94539260864258;3143944704;5802463;62,64915466308593;15,961907313479186;1030,859375;100,36670792790352;1
timm-efficientnet-b0_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;0,45;68,94533157348633;3143944704;5802463;62,91958093643188;15,893303564915785;1030,859375;99,9353351439626;1
timm-efficientnet-b0_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;True;0,45;68,94539260864258;3143944704;5802463;62,08775043487549;16,10623662470926;1030,859375;101,27423467525104;1
timm-efficientnet-b0_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;True;1,0;68,94533157348633;3143944704;5802463;64,37327861785889;15,534395970979379;1049,17578125;97,6785638855991;1
